scale,preprocessing,data_type,layers,activation,batch_size,metric,value,lower_bound,upper_bound
standardized,preprocessed,external,64,prelu,32,mae,0.2407127187221867,0.2183236868653119,0.2609003569687471
standardized,preprocessed,external,64,prelu,32,rmse,0.3311911570761884,0.297186713818915,0.3663358927968296
standardized,preprocessed,augmented,64,prelu,64,mae,0.2611831320535708,0.2498256696316872,0.2729737955709815
standardized,preprocessed,augmented,64,prelu,64,rmse,0.3670148492069804,0.3465028117722315,0.3876967878702391
standardized,non_processed,external,64,prelu,32,mae,0.2355038647581205,0.2131582845490555,0.2586029886612165
standardized,non_processed,external,64,prelu,32,rmse,0.3262502046543922,0.2903265108204883,0.3591197770125796
standardized,non_processed,augmented,64,prelu,32,mae,0.2626660056981388,0.2517124347865377,0.2736975198616944
standardized,non_processed,augmented,64,prelu,32,rmse,0.3673877413508998,0.3489421762978301,0.3844276836985977
normalized,preprocessed,external,32,prelu,32,mae,0.2378355658808842,0.2154933522864236,0.2577228687624389
normalized,preprocessed,external,32,prelu,32,rmse,0.3280584631384564,0.2948102941812231,0.3622164515276438
normalized,preprocessed,augmented,64,relu,32,mae,0.261071960046653,0.2498474060225039,0.2731426812476279
normalized,preprocessed,augmented,64,relu,32,rmse,0.3671679772149814,0.3466464593746075,0.3884596107007637
normalized,non_processed,external,16,prelu,64,mae,0.2329185185174051,0.2095084318151617,0.2565141271018044
normalized,non_processed,external,16,prelu,64,rmse,0.3240704691159217,0.2876107335523069,0.3588460428231698
normalized,non_processed,augmented,64,relu,32,mae,0.2615619819231256,0.2508981830019738,0.2724578302420086
normalized,non_processed,augmented,64,relu,32,rmse,0.366367052136514,0.3470930809623967,0.3835119756206818
