layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,230.3299038164013,0.9987758605751919
[16],relu,64,4,187.19871175915964,0.9999999365581905
[16],prelu,32,4,251.48892498040445,0.9787643214334605
[16],prelu,64,4,235.45814263772706,0.997294997224301
[32],relu,32,4,284.3399718155001,0.7197845495294862
[32],relu,64,4,206.03262351532774,0.9999897548438064
[32],prelu,32,4,335.293855447766,0.07282925644816818
[32],prelu,64,4,276.3723689861724,0.8218139600205457
[64],relu,32,4,269.955151644754,0.8851312379135734
[64],relu,64,4,246.40607128747095,0.9882101148656264
[64],prelu,32,4,331.98022200774415,0.09191344764486228
[64],prelu,64,4,291.188421510444,0.6159793924320685
"[32, 16]",relu,32,4,375.39369899882837,0.0017592292722330026
"[32, 16]",relu,64,4,345.0888577525401,0.034176040057335294
"[32, 16]",prelu,32,4,396.2166228419542,0.00013733529454588861
"[32, 16]",prelu,64,4,316.3550629737743,0.23466980204523874
"[64, 32, 16]",relu,32,4,401.6478783339443,6.625839156747414e-05
"[64, 32, 16]",relu,64,4,388.99415461143514,0.0003477883945418095
"[64, 32, 16]",prelu,32,4,426.2508085736694,1.7931631624998418e-06
"[64, 32, 16]",prelu,64,4,405.93702289117033,3.660213789240238e-05
