layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.043269,0.032559,0.271385,0.254341,0.38013,0.353661,0.359555,0.527679
[16],relu,64,0.045192,0.033133,0.272604,0.255075,0.382433,0.354458,0.334126,0.523735
[16],prelu,32,0.042634,0.03252,0.271166,0.25377,0.379397,0.352903,0.371101,0.529521
[16],prelu,64,0.044231,0.032979,0.271997,0.254656,0.380998,0.354251,0.345704,0.523309
[32],relu,32,0.042358,0.034415,0.268151,0.253173,0.373813,0.352182,0.413788,0.533224
[32],relu,64,0.042414,0.034881,0.267624,0.253648,0.373349,0.353353,0.414623,0.527818
[32],prelu,32,0.047961,0.035201,0.271778,0.253566,0.379656,0.35288,0.332049,0.528834
[32],prelu,64,0.042899,0.034525,0.267971,0.252816,0.373757,0.352221,0.405913,0.532624
[64],relu,32,0.04687,0.038081,0.267298,0.252413,0.372026,0.35163,0.407838,0.534001
[64],relu,64,0.047274,0.03856,0.267332,0.252515,0.371968,0.351035,0.41154,0.536535
[64],prelu,32,0.045611,0.037535,0.266851,0.252824,0.371395,0.351894,0.418004,0.533108
[64],prelu,64,0.04659,0.037574,0.267807,0.253157,0.373092,0.352485,0.400302,0.530672
"[32, 16]",relu,32,0.050598,0.039292,0.273861,0.253725,0.382538,0.354864,0.355159,0.524657
"[32, 16]",relu,64,0.04781,0.038743,0.27222,0.253797,0.379628,0.3552,0.390522,0.524765
"[32, 16]",prelu,32,0.053007,0.040383,0.275324,0.254305,0.383826,0.355364,0.330441,0.521674
"[32, 16]",prelu,64,0.048628,0.039269,0.271019,0.253332,0.37839,0.354156,0.388576,0.527643
"[64, 32, 16]",relu,32,0.060303,0.049779,0.272991,0.255808,0.381036,0.356398,0.378792,0.522004
"[64, 32, 16]",relu,64,0.058656,0.04901,0.272119,0.255043,0.379989,0.355327,0.394747,0.524474
"[64, 32, 16]",prelu,32,0.056841,0.047937,0.269647,0.255109,0.375888,0.355614,0.405074,0.523273
"[64, 32, 16]",prelu,64,0.060693,0.050564,0.271369,0.255776,0.378197,0.356302,0.385386,0.521607
