layers,activation,batch_size,duration
[16],relu,32,612.3149695396423
[16],relu,64,581.4008593559265
[16],prelu,32,673.2511010169983
[16],prelu,64,544.8813631534576
[32],relu,32,554.1668040752411
[32],relu,64,562.9122271537781
[32],prelu,32,566.6799757480621
[32],prelu,64,575.0396859645844
[64],relu,32,648.6356163024902
[64],relu,64,658.5541710853577
[64],prelu,32,694.0163521766663
[64],prelu,64,603.6254580020905
"[32, 16]",relu,32,623.9085171222687
"[32, 16]",relu,64,630.2571499347687
"[32, 16]",prelu,32,631.2860119342804
"[32, 16]",prelu,64,658.9405267238617
"[64, 32, 16]",relu,32,757.6304726600647
"[64, 32, 16]",relu,64,850.7077379226685
"[64, 32, 16]",prelu,32,742.4406394958496
"[64, 32, 16]",prelu,64,777.7070298194885
